,mse,mae,r2
b0 l0,0.6215593508686241,0.6446377001396787,0.0899273523384202
b0 l1,1.9121919640624416,1.2425190104608965,-1.7997866995960092
b0 l2,0.7531363424837039,0.780264386699237,-0.10272459789471355
b0 l3,0.6032488585716136,0.6172079170612935,0.11673714641752098
b0 l4,0.6548483896750936,0.7262947371648627,0.04118632118447618
b0 l5,0.5387367736137983,0.5627868016157029,0.2111942306552208
b0 l6,0.8544072894862726,0.8699927713757861,-0.25100314722556205
b0 l7,0.5660713356806628,0.5742296726644951,0.17117160491868177
b1 l0,0.635241797647234,0.6947199429800772,0.06989383414116901
b1 l1,0.84239305765804,0.8521261167331842,-0.2334121902972175
b1 l2,0.5764887131827954,0.6519327061246727,0.15591872470409396
b1 l3,1.387560557793704,1.0819917498717881,-1.031633678839147
b1 l4,0.9794170624578459,0.9409480039065254,-0.43403952969301707
b1 l5,1.3500412266214423,1.0340844599720223,-0.976698752655969
b1 l6,0.9051331947486803,0.8804387956849244,-0.32527482995815316
b1 l7,0.9616613629080745,0.7134938403040776,-0.40804205016389106
b2 l0,0.6005592125300399,0.612907642937654,0.12067526317323662
b2 l1,1.766755957410862,1.1781813115336937,-1.5868427040567865
b2 l2,0.8091677900963476,0.8557538771223495,-0.1847645315066655
b2 l3,0.6875093445239534,0.7406776250053446,-0.006635084145390158
b2 l4,0.6273366275714188,0.6236470291522369,0.08146839906575476
b2 l5,0.8594973463477686,0.6516409815505012,-0.2584558892979256
b2 l6,0.7078846918253031,0.651065173320057,-0.036468190573038406
b2 l7,0.6211781017475538,0.710250495078991,0.09048556837450128
b3 l0,0.580900654631982,0.6612175346408978,0.14945886334028702
b3 l1,1.3602012001252721,1.0595845449567047,-0.9915747479633843
b3 l2,0.6196098870115012,0.7221493216414868,0.09278171167110971
b3 l3,0.570678154001027,0.6246223086559746,0.1644264094031599
b3 l4,0.552220606201039,0.6558447618188848,0.19145151870639943
b3 l5,0.7111287772197415,0.6705717767869441,-0.04121810444696039
b3 l6,0.6201401548939324,0.6260109023555385,0.09200530585393463
b3 l7,0.5834460292011826,0.5610830793454084,0.14573198549628774
b4 l0,0.5569079145718104,0.551121690692335,0.18458847154375468
b4 l1,0.5652986851370299,0.58794833136572,0.17230290175297203
b4 l2,0.7905982993087842,0.8529980561605708,-0.1575755179021754
b4 l3,2.38877504579258,1.3639331406980597,-2.4975884886202344
b4 l4,0.6248654534618472,0.7225186718498361,0.08508663433417718
b4 l5,0.5322723807857386,0.5867973203893097,0.22065924326959996
b4 l6,0.6017887600392298,0.6079585233895878,0.11887498850027034
b4 l7,0.6121125446814738,0.6833588403972181,0.10375914475964443
b5 l0,0.5410523136136406,0.5809394463611786,0.20780387120607446
b5 l1,0.5301347479816934,0.5687519810331821,0.22378911516837674
b5 l2,0.6459880595603802,0.7191121562078298,0.05415940907283978
b5 l3,0.5491719770707986,0.601889540997988,0.19591525009491262
b5 l4,0.5367392105418513,0.6011086406258396,0.21411901573200764
b5 l5,0.9301933279884721,0.8279127816291014,-0.3619672902620925
b5 l6,0.6724943276270484,0.7441266921067908,0.015349552016793222
b5 l7,0.743777716609766,0.7986362942439178,-0.08902191702334328
